date,idena_unscaled,idena_monthly,isPartial,scale,idena
2020-12-05,25,43.0,,0.43,10.75
2020-12-06,98,54.0,False,0.54,52.92
2020-12-07,0,54.0,,0.54,0.0
2020-12-08,67,54.0,,0.54,36.18
2020-12-09,22,54.0,,0.54,11.88
2020-12-10,0,54.0,,0.54,0.0
2020-12-11,46,54.0,,0.54,24.840000000000003
2020-12-12,100,54.0,,0.54,54.0
2020-12-13,25,39.0,False,0.39,9.75
2020-12-14,0,39.0,,0.39,0.0
2020-12-15,23,39.0,,0.39,8.97
2020-12-16,0,39.0,,0.39,0.0
2020-12-17,22,39.0,,0.39,8.58
2020-12-18,97,39.0,,0.39,37.83
2020-12-19,0,39.0,,0.39,0.0
2020-12-20,26,42.0,False,0.42,10.92
2020-12-21,24,42.0,,0.42,10.08
2020-12-22,47,42.0,,0.42,19.74
2020-12-23,0,42.0,,0.42,0.0
2020-12-24,0,42.0,,0.42,0.0
2020-12-25,0,42.0,,0.42,0.0
2020-12-26,0,42.0,,0.42,0.0
2020-12-27,50,41.0,False,0.41,20.5
2020-12-28,46,41.0,,0.41,18.86
2020-12-29,48,41.0,,0.41,19.68
2020-12-30,24,41.0,,0.41,9.84
2020-12-31,0,41.0,,0.41,0.0
2021-01-01,28,41.0,,0.41,11.479999999999999
2021-01-02,26,41.0,,0.41,10.66
2021-01-03,0,49.0,False,0.49,0.0
2021-01-04,45,49.0,,0.49,22.05
2021-01-05,23,49.0,,0.49,11.27
2021-01-06,45,49.0,,0.49,22.05
2021-01-07,45,49.0,,0.49,22.05
2021-01-08,46,49.0,,0.49,22.54
2021-01-09,0,49.0,,0.49,0.0
2021-01-10,25,60.0,False,0.6,15.0
2021-01-11,44,60.0,,0.6,26.4
2021-01-12,66,60.0,,0.6,39.6
2021-01-13,0,60.0,,0.6,0.0
2021-01-14,46,60.0,,0.6,27.599999999999998
2021-01-15,47,60.0,,0.6,28.2
2021-01-16,0,60.0,,0.6,0.0
2021-01-17,25,54.0,False,0.54,13.5
2021-01-18,68,54.0,,0.54,36.72
2021-01-19,89,54.0,,0.54,48.06
2021-01-20,0,54.0,,0.54,0.0
2021-01-21,44,54.0,,0.54,23.76
2021-01-22,47,54.0,,0.54,25.380000000000003
2021-01-23,100,54.0,,0.54,54.0
2021-01-24,75,39.0,False,0.39,29.25
2021-01-25,0,39.0,,0.39,0.0
2021-01-26,45,39.0,,0.39,17.55
2021-01-27,67,39.0,,0.39,26.130000000000003
2021-01-28,0,39.0,,0.39,0.0
2021-01-29,93,39.0,,0.39,36.27
2021-01-30,51,39.0,,0.39,19.89
2021-01-31,25,28.0,False,0.28,7.000000000000001
2021-02-01,0,28.0,,0.28,0.0
2021-02-02,34,28.0,,0.28,9.520000000000001
2021-02-03,34,28.0,,0.28,9.520000000000001
2021-02-04,34,28.0,,0.28,9.520000000000001
2021-02-05,35,28.0,,0.28,9.8
2021-02-06,37,28.0,,0.28,10.360000000000001
2021-02-07,37,38.0,False,0.38,14.06
2021-02-08,0,38.0,,0.38,0.0
2021-02-09,0,38.0,,0.38,0.0
2021-02-10,34,38.0,,0.38,12.92
2021-02-11,35,38.0,,0.38,13.3
2021-02-12,0,38.0,,0.38,0.0
2021-02-13,38,38.0,,0.38,14.44
2021-02-14,75,28.0,False,0.28,21.000000000000004
2021-02-15,68,28.0,,0.28,19.040000000000003
2021-02-16,0,28.0,,0.28,0.0
2021-02-17,34,28.0,,0.28,9.520000000000001
2021-02-18,34,28.0,,0.28,9.520000000000001
2021-02-19,36,28.0,,0.28,10.080000000000002
2021-02-20,38,28.0,,0.28,10.64
2021-02-21,39,39.0,False,0.39,15.21
2021-02-22,0,39.0,,0.39,0.0
2021-02-23,68,39.0,,0.39,26.52
2021-02-24,100,39.0,,0.39,39.0
2021-02-25,67,39.0,,0.39,26.130000000000003
2021-02-26,35,39.0,,0.39,13.65
2021-02-27,39,39.0,,0.39,15.21
2021-02-28,0,27.0,False,0.27,0.0
2021-03-01,38,27.0,,0.27,10.260000000000002
2021-03-02,19,27.0,,0.27,5.130000000000001
2021-03-03,0,27.0,,0.27,0.0
2021-03-04,19,27.0,,0.27,5.130000000000001
2021-03-05,40,27.0,,0.27,10.8
2021-03-06,43,27.0,,0.27,11.610000000000001
2021-03-07,22,33.0,False,0.33,7.260000000000001
2021-03-08,19,33.0,,0.33,6.2700000000000005
2021-03-09,0,33.0,,0.33,0.0
2021-03-10,0,33.0,,0.33,0.0
2021-03-11,39,33.0,,0.33,12.870000000000001
2021-03-12,60,33.0,,0.33,19.8
2021-03-13,0,33.0,,0.33,0.0
2021-03-14,0,36.0,False,0.36,0.0
2021-03-15,16,36.0,,0.36,5.76
2021-03-16,32,36.0,,0.36,11.52
2021-03-17,0,36.0,,0.36,0.0
2021-03-18,0,36.0,,0.36,0.0
2021-03-19,0,36.0,,0.36,0.0
2021-03-20,0,36.0,,0.36,0.0
2021-03-21,22,60.0,False,0.6,13.2
2021-03-22,0,60.0,,0.6,0.0
2021-03-23,0,60.0,,0.6,0.0
2021-03-24,58,60.0,,0.6,34.8
2021-03-25,20,60.0,,0.6,12.0
2021-03-26,0,60.0,,0.6,0.0
2021-03-27,22,60.0,,0.6,13.2
2021-03-28,22,46.0,False,0.46,10.120000000000001
2021-03-29,39,46.0,,0.46,17.94
2021-03-30,100,46.0,,0.46,46.0
2021-03-31,0,46.0,,0.46,0.0
2021-04-01,32,46.0,,0.46,14.72
2021-04-02,0,46.0,,0.46,0.0
2021-04-03,35,46.0,,0.46,16.1
2021-04-04,35,11.0,False,0.11,3.85
2021-04-05,0,11.0,,0.11,0.0
2021-04-06,58,11.0,,0.11,6.38
2021-04-07,29,11.0,,0.11,3.19
2021-04-08,0,11.0,,0.11,0.0
2021-04-09,0,11.0,,0.11,0.0
2021-04-10,0,11.0,,0.11,0.0
2021-04-11,66,38.0,False,0.38,25.080000000000002
2021-04-12,0,38.0,,0.38,0.0
2021-04-13,29,38.0,,0.38,11.02
2021-04-14,0,38.0,,0.38,0.0
2021-04-15,30,38.0,,0.38,11.4
2021-04-16,0,38.0,,0.38,0.0
2021-04-17,100,38.0,,0.38,38.0
2021-04-18,33,22.0,False,0.22,7.26
2021-04-19,0,22.0,,0.22,0.0
2021-04-20,29,22.0,,0.22,6.38
2021-04-21,59,22.0,,0.22,12.98
2021-04-22,30,22.0,,0.22,6.6
2021-04-23,31,22.0,,0.22,6.82
2021-04-24,0,22.0,,0.22,0.0
2021-04-25,0,43.0,False,0.43,0.0
2021-04-26,0,43.0,,0.43,0.0
2021-04-27,29,43.0,,0.43,12.47
2021-04-28,59,43.0,,0.43,25.37
2021-04-29,88,43.0,,0.43,37.839999999999996
2021-04-30,0,43.0,,0.43,0.0
2021-05-01,84,43.0,,0.43,36.12
2021-05-02,0,33.0,False,0.33,0.0
2021-05-03,0,33.0,,0.33,0.0
2021-05-04,0,33.0,,0.33,0.0
2021-05-05,25,33.0,,0.33,8.25
2021-05-06,25,33.0,,0.33,8.25
2021-05-07,0,33.0,,0.33,0.0
2021-05-08,57,33.0,,0.33,18.810000000000002
2021-05-09,29,17.0,False,0.17,4.930000000000001
2021-05-10,0,17.0,,0.17,0.0
2021-05-11,24,17.0,,0.17,4.08
2021-05-12,25,17.0,,0.17,4.25
2021-05-13,0,17.0,,0.17,0.0
2021-05-14,0,17.0,,0.17,0.0
2021-05-15,0,17.0,,0.17,0.0
2021-05-16,0,50.0,False,0.5,0.0
2021-05-17,100,50.0,,0.5,50.0
2021-05-18,75,50.0,,0.5,37.5
2021-05-19,49,50.0,,0.5,24.5
2021-05-20,0,50.0,,0.5,0.0
2021-05-21,52,50.0,,0.5,26.0
2021-05-22,28,50.0,,0.5,14.0
2021-05-23,0,33.0,False,0.33,0.0
2021-05-24,25,33.0,,0.33,8.25
2021-05-25,0,33.0,,0.33,0.0
2021-05-26,0,33.0,,0.33,0.0
2021-05-27,25,33.0,,0.33,8.25
2021-05-28,27,33.0,,0.33,8.91
2021-05-29,0,33.0,,0.33,0.0
2021-05-30,0,51.0,False,0.51,0.0
2021-05-31,26,51.0,,0.51,13.26
2021-06-01,29,51.0,,0.51,14.790000000000001
2021-06-02,0,51.0,,0.51,0.0
2021-06-03,0,51.0,,0.51,0.0
2021-06-04,61,51.0,,0.51,31.11
2021-06-05,0,51.0,,0.51,0.0
2021-06-06,0,28.0,False,0.28,0.0
2021-06-07,56,28.0,,0.28,15.680000000000001
2021-06-08,85,28.0,,0.28,23.8
2021-06-09,29,28.0,,0.28,8.120000000000001
2021-06-10,0,28.0,,0.28,0.0
2021-06-11,59,28.0,,0.28,16.520000000000003
2021-06-12,99,28.0,,0.28,27.720000000000002
2021-06-13,0,16.0,False,0.16,0.0
2021-06-14,0,16.0,,0.16,0.0
2021-06-15,28,16.0,,0.16,4.48
2021-06-16,0,16.0,,0.16,0.0
2021-06-17,0,16.0,,0.16,0.0
2021-06-18,30,16.0,,0.16,4.8
2021-06-19,65,16.0,,0.16,10.4
2021-06-20,0,51.0,False,0.51,0.0
2021-06-21,29,51.0,,0.51,14.790000000000001
2021-06-22,58,51.0,,0.51,29.580000000000002
2021-06-23,57,51.0,,0.51,29.07
2021-06-24,30,51.0,,0.51,15.3
2021-06-25,31,51.0,,0.51,15.81
2021-06-26,100,51.0,,0.51,51.0
2021-06-27,0,34.0,False,0.34,0.0
2021-06-28,29,34.0,,0.34,9.860000000000001
2021-06-29,87,34.0,,0.34,29.580000000000002
2021-06-30,0,34.0,,0.34,0.0
2021-07-01,0,34.0,,0.34,0.0
2021-07-02,0,34.0,,0.34,0.0
2021-07-03,36,34.0,,0.34,12.24
2021-07-04,0,23.0,False,0.23,0.0
2021-07-05,66,23.0,,0.23,15.180000000000001
2021-07-06,32,23.0,,0.23,7.36
2021-07-07,0,23.0,,0.23,0.0
2021-07-08,33,23.0,,0.23,7.590000000000001
2021-07-09,0,23.0,,0.23,0.0
2021-07-10,37,23.0,,0.23,8.51
2021-07-11,0,46.0,False,0.46,0.0
2021-07-12,32,46.0,,0.46,14.72
2021-07-13,0,46.0,,0.46,0.0
2021-07-14,65,46.0,,0.46,29.900000000000002
2021-07-15,0,46.0,,0.46,0.0
2021-07-16,34,46.0,,0.46,15.64
2021-07-17,37,46.0,,0.46,17.02
2021-07-18,0,47.0,False,0.47,0.0
2021-07-19,100,47.0,,0.47,47.0
2021-07-20,0,47.0,,0.47,0.0
2021-07-21,0,47.0,,0.47,0.0
2021-07-22,34,47.0,,0.47,15.979999999999999
2021-07-23,34,47.0,,0.47,15.979999999999999
2021-07-24,0,47.0,,0.47,0.0
2021-07-25,0,28.0,False,0.28,0.0
2021-07-26,65,28.0,,0.28,18.200000000000003
2021-07-27,32,28.0,,0.28,8.96
2021-07-28,64,28.0,,0.28,17.92
2021-07-29,0,28.0,,0.28,0.0
2021-07-30,0,28.0,,0.28,0.0
2021-07-31,73,28.0,,0.28,20.44
2021-08-01,74,40.0,False,0.4,29.6
2021-08-02,66,40.0,,0.4,26.400000000000002
2021-08-03,44,40.0,,0.4,17.6
2021-08-04,44,40.0,,0.4,17.6
2021-08-05,0,40.0,,0.4,0.0
2021-08-06,45,40.0,,0.4,18.0
2021-08-07,0,40.0,,0.4,0.0
2021-08-08,100,57.0,False,0.57,56.99999999999999
2021-08-09,22,57.0,,0.57,12.54
2021-08-10,0,57.0,,0.57,0.0
2021-08-11,0,57.0,,0.57,0.0
2021-08-12,90,57.0,,0.57,51.3
2021-08-13,0,57.0,,0.57,0.0
2021-08-14,49,57.0,,0.57,27.929999999999996
2021-08-15,0,45.0,False,0.45,0.0
2021-08-16,22,45.0,,0.45,9.9
2021-08-17,22,45.0,,0.45,9.9
2021-08-18,0,45.0,,0.45,0.0
2021-08-19,22,45.0,,0.45,9.9
2021-08-20,0,45.0,,0.45,0.0
2021-08-21,24,45.0,,0.45,10.8
2021-08-22,0,30.0,False,0.3,0.0
2021-08-23,0,30.0,,0.3,0.0
2021-08-24,33,30.0,,0.3,9.9
2021-08-25,22,30.0,,0.3,6.6
2021-08-26,65,30.0,,0.3,19.5
2021-08-27,22,30.0,,0.3,6.6
2021-08-28,0,30.0,,0.3,0.0
2021-08-29,0,59.0,False,0.59,0.0
2021-08-30,22,59.0,,0.59,12.979999999999999
2021-08-31,67,59.0,,0.59,39.53
2021-09-01,0,59.0,,0.59,0.0
2021-09-02,45,59.0,,0.59,26.549999999999997
2021-09-03,92,59.0,,0.59,54.279999999999994
2021-09-04,51,59.0,,0.59,30.09
2021-09-05,0,62.0,False,0.62,0.0
2021-09-06,45,62.0,,0.62,27.9
2021-09-07,90,62.0,,0.62,55.8
2021-09-08,45,62.0,,0.62,27.9
2021-09-09,45,62.0,,0.62,27.9
2021-09-10,46,62.0,,0.62,28.52
2021-09-11,50,62.0,,0.62,31.0
2021-09-12,0,36.0,False,0.36,0.0
2021-09-13,87,36.0,,0.36,31.32
2021-09-14,0,36.0,,0.36,0.0
2021-09-15,0,36.0,,0.36,0.0
2021-09-16,45,36.0,,0.36,16.2
2021-09-17,46,36.0,,0.36,16.56
2021-09-18,100,36.0,,0.36,36.0
2021-09-19,0,53.0,False,0.53,0.0
2021-09-20,0,53.0,,0.53,0.0
2021-09-21,0,53.0,,0.53,0.0
2021-09-22,85,53.0,,0.53,45.050000000000004
2021-09-23,0,53.0,,0.53,0.0
2021-09-24,0,53.0,,0.53,0.0
2021-09-25,0,53.0,,0.53,0.0
2021-09-26,0,47.0,False,0.47,0.0
2021-09-27,87,47.0,,0.47,40.89
2021-09-28,0,47.0,,0.47,0.0
2021-09-29,86,47.0,,0.47,40.419999999999995
2021-09-30,43,47.0,,0.47,20.209999999999997
2021-10-01,33,47.0,,0.47,15.51
2021-10-02,36,47.0,,0.47,16.919999999999998
2021-10-03,0,18.0,False,0.18,0.0
2021-10-04,0,18.0,,0.18,0.0
2021-10-05,21,18.0,,0.18,3.78
2021-10-06,65,18.0,,0.18,11.7
2021-10-07,21,18.0,,0.18,3.78
2021-10-08,45,18.0,,0.18,8.1
2021-10-09,100,18.0,,0.18,18.0
2021-10-10,25,46.0,False,0.46,11.5
2021-10-11,87,46.0,,0.46,40.02
2021-10-12,66,46.0,,0.46,30.360000000000003
2021-10-13,67,46.0,,0.46,30.82
2021-10-14,88,46.0,,0.46,40.480000000000004
2021-10-15,91,46.0,,0.46,41.86
2021-10-16,50,46.0,,0.46,23.0
2021-10-17,25,45.0,False,0.45,11.25
2021-10-18,22,45.0,,0.45,9.9
2021-10-19,21,45.0,,0.45,9.450000000000001
2021-10-20,64,45.0,,0.45,28.8
2021-10-21,44,45.0,,0.45,19.8
2021-10-22,22,45.0,,0.45,9.9
2021-10-23,25,45.0,,0.45,11.25
2021-10-24,0,16.0,False,0.16,0.0
2021-10-25,0,16.0,,0.16,0.0
2021-10-26,0,16.0,,0.16,0.0
2021-10-27,21,16.0,,0.16,3.36
2021-10-28,22,16.0,,0.16,3.52
2021-10-29,0,16.0,,0.16,0.0
2021-10-30,0,16.0,,0.16,0.0
2021-10-31,0,29.0,False,0.29,0.0
2021-11-01,23,29.0,,0.29,6.67
2021-11-02,0,29.0,,0.29,0.0
2021-11-03,32,29.0,,0.29,9.28
2021-11-04,11,29.0,,0.29,3.19
2021-11-05,34,29.0,,0.29,9.86
2021-11-06,25,29.0,,0.29,7.249999999999999
2021-11-07,12,100.0,False,1.0,12.0
2021-11-08,33,100.0,,1.0,33.0
2021-11-09,22,100.0,,1.0,22.0
2021-11-10,11,100.0,,1.0,11.0
2021-11-11,31,100.0,,1.0,31.0
2021-11-12,100,100.0,,1.0,100.0
2021-11-13,12,100.0,,1.0,12.0
2021-11-14,36,36.0,False,0.36,12.959999999999999
2021-11-15,33,36.0,,0.36,11.879999999999999
2021-11-16,10,36.0,,0.36,3.5999999999999996
2021-11-17,0,36.0,,0.36,0.0
2021-11-18,43,36.0,,0.36,15.479999999999999
2021-11-19,11,36.0,,0.36,3.96
2021-11-20,12,36.0,,0.36,4.32
2021-11-21,12,59.0,False,0.59,7.08
2021-11-22,21,59.0,,0.59,12.389999999999999
2021-11-23,10,59.0,,0.59,5.8999999999999995
2021-11-24,21,59.0,,0.59,12.389999999999999
2021-11-25,42,59.0,,0.59,24.779999999999998
2021-11-26,11,59.0,,0.59,6.489999999999999
2021-11-27,35,59.0,,0.59,20.65
2021-11-28,0,55.0,False,0.55,0.0
2021-11-29,41,55.0,,0.55,22.55
2021-11-30,10,55.0,,0.55,5.5
2021-12-01,34,55.0,,0.55,18.700000000000003
2021-12-02,17,55.0,,0.55,9.350000000000001
2021-12-03,90,55.0,,0.55,49.50000000000001
2021-12-04,58,55.0,,0.55,31.900000000000002
2021-12-05,19,77.0,False,0.77,14.63
2021-12-06,86,77.0,,0.77,66.22
2021-12-07,35,77.0,,0.77,26.95
2021-12-08,89,77.0,,0.77,68.53
2021-12-09,36,77.0,,0.77,27.72
2021-12-10,37,77.0,,0.77,28.490000000000002
2021-12-11,61,77.0,,0.77,46.97
2021-12-12,100,34.0,False,0.34,34.0
2021-12-13,71,34.0,,0.34,24.14
2021-12-14,36,34.0,,0.34,12.24
2021-12-15,18,34.0,,0.34,6.12
2021-12-16,0,34.0,,0.34,0.0
2021-12-17,19,34.0,,0.34,6.460000000000001
2021-12-18,21,34.0,,0.34,7.140000000000001
2021-12-19,0,36.0,False,0.36,0.0
2021-12-20,19,36.0,,0.36,6.84
2021-12-21,57,36.0,,0.36,20.52
2021-12-22,0,36.0,,0.36,0.0
2021-12-23,20,36.0,,0.36,7.199999999999999
2021-12-24,0,36.0,,0.36,0.0
2021-12-25,24,36.0,,0.36,8.64
2021-12-26,22,63.0,False,0.63,13.86
2021-12-27,78,63.0,,0.63,49.14
2021-12-28,76,63.0,,0.63,47.88
2021-12-29,19,63.0,,0.63,11.97
2021-12-30,40,63.0,,0.63,25.2
2021-12-31,21,63.0,,0.63,13.23
2022-01-01,63,63.0,,0.63,39.69
2022-01-02,40,29.0,False,0.29,11.6
2022-01-03,36,29.0,,0.29,10.44
2022-01-04,18,29.0,,0.29,5.22
2022-01-05,0,29.0,,0.29,0.0
2022-01-06,53,29.0,,0.29,15.37
2022-01-07,18,29.0,,0.29,5.22
2022-01-08,0,29.0,,0.29,0.0
2022-01-09,59,41.0,False,0.41,24.189999999999998
2022-01-10,51,41.0,,0.41,20.91
2022-01-11,51,41.0,,0.41,20.91
2022-01-12,17,41.0,,0.41,6.97
2022-01-13,18,41.0,,0.41,7.38
2022-01-14,36,41.0,,0.41,14.76
2022-01-15,19,41.0,,0.41,7.789999999999999
2022-01-16,39,41.0,False,0.41,15.989999999999998
2022-01-17,0,41.0,,0.41,0.0
2022-01-18,51,41.0,,0.41,20.91
2022-01-19,34,41.0,,0.41,13.94
2022-01-20,0,41.0,,0.41,0.0
2022-01-21,0,41.0,,0.41,0.0
2022-01-22,100,41.0,,0.41,41.0
2022-01-23,20,58.0,False,0.58,11.6
2022-01-24,0,58.0,,0.58,0.0
2022-01-25,31,58.0,,0.58,17.98
2022-01-26,35,58.0,,0.58,20.299999999999997
2022-01-27,53,58.0,,0.58,30.74
2022-01-28,18,58.0,,0.58,10.44
2022-01-29,20,58.0,,0.58,11.6
2022-01-30,0,30.0,True,0.3,0.0
2022-01-31,54,30.0,,0.3,16.2
2022-02-01,0,30.0,,0.3,0.0
2022-02-02,0,30.0,,0.3,0.0
2022-02-03,48,30.0,,0.3,14.399999999999999
2022-02-04,100,30.0,,0.3,30.0
