Date,Open,High,Low,Close,Adj Close,Volume
2021-01-29,0.080085,0.084065,0.061175,0.077707,0.077707,102872
2021-01-30,0.077889,0.080111,0.074578,0.076903,0.076903,33441
2021-01-31,0.076807,0.099982,0.075776,0.090228,0.090228,64254
2021-02-01,0.090148,0.090236,0.076826,0.079041,0.079041,39725
2021-02-02,0.079126,0.105534,0.077815,0.104947,0.104947,73765
2021-02-03,0.104986,0.117227,0.097566,0.104551,0.104551,42905
2021-02-04,0.104626,0.131124,0.102695,0.122096,0.122096,63170
2021-02-05,0.122057,0.137190,0.108971,0.115789,0.115789,66823
2021-02-06,0.116026,0.134995,0.113768,0.113902,0.113902,72407
2021-02-07,0.114016,0.115780,0.109015,0.114736,0.114736,21907
2021-02-08,0.114727,0.128628,0.104086,0.113930,0.113930,64181
2021-02-09,0.114051,0.118806,0.105308,0.108649,0.108649,58806
2021-02-10,0.108642,0.111679,0.100151,0.105676,0.105676,29200
2021-02-11,0.105769,0.117662,0.100740,0.116057,0.116057,43309
2021-02-12,0.116294,0.135279,0.113094,0.115061,0.115061,47647
2021-02-13,0.114999,0.126352,0.114264,0.116943,0.116943,33206
2021-02-14,0.116981,0.121606,0.115072,0.119226,0.119226,46207
2021-02-15,0.119240,0.127782,0.112097,0.116782,0.116782,37438
2021-02-16,0.116785,0.123029,0.113767,0.118364,0.118364,60122
2021-02-17,0.118280,0.128310,0.116817,0.126119,0.126119,12659
2021-02-18,0.126100,0.129406,0.120085,0.123067,0.123067,17855
2021-02-19,0.123063,0.136234,0.115335,0.136008,0.136008,72172
2021-02-20,0.135983,0.236168,0.134896,0.217459,0.217459,130249
2021-02-21,0.217452,0.234159,0.176471,0.226730,0.226730,87977
2021-02-22,0.226714,0.226714,0.171136,0.200214,0.200214,143345
2021-02-23,0.200159,0.201518,0.152810,0.164628,0.164628,25624
2021-02-24,0.164667,0.179967,0.161509,0.168434,0.168434,49543
2021-02-25,0.168458,0.175442,0.157160,0.158886,0.158886,57993
2021-02-26,0.158750,0.160350,0.133785,0.134029,0.134029,84749
2021-02-27,0.134051,0.140884,0.125842,0.131143,0.131143,44013
2021-02-28,0.131089,0.132761,0.112315,0.120351,0.120351,57739
2021-03-01,0.120373,0.140895,0.120107,0.133087,0.133087,70783
2021-03-02,0.133136,0.141233,0.124297,0.128889,0.128889,62517
2021-03-03,0.128900,0.140608,0.127712,0.136560,0.136560,88323
2021-03-04,0.136560,0.142117,0.126554,0.128607,0.128607,112591
2021-03-05,0.128597,0.140815,0.123661,0.136047,0.136047,68626
2021-03-06,0.136025,0.136693,0.129277,0.135481,0.135481,42792
2021-03-07,0.135457,0.142558,0.132985,0.139957,0.139957,27547
2021-03-08,0.139957,0.146833,0.134564,0.142940,0.142940,9542
2021-03-09,0.142947,0.158222,0.141671,0.150827,0.150827,22057
2021-03-10,0.150942,0.160562,0.140655,0.152050,0.152050,20273
2021-03-11,0.152063,0.170767,0.146708,0.159515,0.159515,57764
